-2.68105626 3.42863059 -1.20846450
-2.72268629 3.46911883 -1.20385146
-2.83775973 3.29286075 -1.22393346
-2.71445441 3.44102192 -1.20705259
-2.74829531 3.29774213 -1.22337735
-2.77729154 3.31763411 -1.22111094
-2.68224096 3.46185064 -1.20467949
-2.75369596 3.34173179 -1.21836531
-2.73433685 3.31762528 -1.22111189
-2.64694548 3.41231513 -1.21032333
-2.73626018 3.44701791 -1.20636952
-2.72962880 3.43527317 -1.20770764
-2.64193869 3.35949206 -1.21634185
-2.63654733 3.36810827 -1.21536016
-2.70460200 3.30955434 -1.22203147
-2.72220659 3.48390198 -1.20216715
-2.65983677 3.47636628 -1.20302570
-2.82611108 3.30159092 -1.22293878
-2.78103542 3.33383417 -1.21926510
-2.63019180 3.44408298 -1.20670390
-2.66140962 3.40127015 -1.21158183
-2.79878473 3.34309769 -1.21820974
-2.66307354 3.37083244 -1.21504974
-2.73975682 3.43701339 -1.20750940
-2.70736861 3.50840163 -1.19937575
-2.63687491 3.61034083 -1.18776119
-2.65602660 3.54967833 -1.19467282
-2.63684154 3.53801656 -1.19600153
-2.76221013 3.37662721 -1.21438956
-2.64275050 3.38050270 -1.21394789
-2.67439413 3.45615172 -1.20532882
-2.67192769 3.40753508 -1.21086800
-2.66019106 3.56697917 -1.19270170
-2.71140480 3.30886579 -1.22210991
-2.67105460 3.41047883 -1.21053255
-2.66496444 3.53512168 -1.19633138
-2.64806390 3.48378348 -1.20218062
-2.70577455 3.33681393 -1.21892571
-2.73338938 3.36009812 -1.21627271
-2.74636936 3.29907465 -1.22322547
-2.69532919 3.32180738 -1.22063541
-2.81436467 3.30452967 -1.22260392
-2.70785737 3.36292815 -1.21595037
-2.81082249 3.31701136 -1.22118187
-2.63377595 3.47915578 -1.20270789
-2.63043070 3.30885339 -1.22211134
-2.71439242 3.30756855 -1.22225773
-2.79480863 3.31616926 -1.22127783
-2.65819168 3.33700109 -1.21890438
-2.70068097 3.49067116 -1.20139587
-2.67062664 3.32823300 -1.21990335
-2.67236423 3.41546726 -1.20996428
-2.66647625 3.35866857 -1.21643567
-2.72344947 3.42985630 -1.20832479
-2.71419358 3.49680018 -1.20069754
-2.64594626 3.31009650 -1.22196972
-2.63711548 3.42952037 -1.20836306
-2.69931865 3.31957436 -1.22088981
-2.65346003 3.31277943 -1.22166407
-2.79367447 3.28709388 -1.22459054
-2.64408517 3.30642796 -1.22238767
-2.75142956 3.32480288 -1.22029412
-2.80266523 3.28783226 -1.22450638
-2.77541494 3.39548182 -1.21224129
-2.71584272 3.35574412 -1.21676886
-2.67535424 3.42161417 -1.20926392
-2.72039795 3.28826261 -1.22445738
-2.62952352 3.32383347 -1.22040462
-2.75834465 3.36656165 -1.21553636
-2.65348339 3.42033386 -1.20940971
-2.66045523 3.54111409 -1.19564855
-2.65919876 3.40973663 -1.21061718
-2.78216529 3.36071324 -1.21620262
-2.77536607 3.35798669 -1.21651328
-2.72026086 3.37341213 -1.21475577
-2.64250565 3.49281883 -1.20115113
-2.71870470 3.43060875 -1.20823908
-2.66242790 3.47078347 -1.20366180
