-1.32794011 2.68243313 -1.09795761
-1.18724275 2.68249154 -1.09624648
-1.30684721 2.68249607 -1.09611273
-1.13290858 2.68234658 -1.10048807
-1.29398155 2.68234968 -1.10039699
-1.24240732 2.68236756 -1.09987414
-1.14294887 2.68214488 -1.10321426
-1.14291632 2.68196917 -1.10492194
-1.24174011 2.68194699 -1.10513937
-1.36289179 2.68221450 -1.10253668
-1.24674749 2.68203998 -1.10423505
-1.36214638 2.68201137 -1.10451317
-1.05169904 2.68150115 -1.10857117
-1.06214237 2.68157864 -1.10812140
-1.09012496 2.68129086 -1.10978961
-1.23217976 2.68144441 -1.10889924
-1.23428750 2.68130183 -1.10972607
-1.34167373 2.68168330 -1.10751474
-1.16367030 2.67976165 -1.11694062
-1.21750212 2.67954850 -1.11781549
-1.15130854 2.68024445 -1.11495948
-1.35365236 2.67999029 -1.11600327
-1.20308912 2.68067575 -1.11319041
-1.33175373 2.68021488 -1.11508095
-1.14630282 2.67822504 -1.12208819
-1.07830584 2.67825651 -1.12198937
-1.15675843 2.67863631 -1.12079263
-1.19170189 2.67943382 -1.11827946
-1.31543827 2.67917323 -1.11910069
-1.30287147 2.67851210 -1.12118399
-1.33543825 2.67592907 -1.12821114
-1.15724385 2.67625260 -1.12739027
-1.11495221 2.67608261 -1.12782156
-1.21485662 2.67684078 -1.12589920
-1.09148800 2.67748618 -1.12426257
-1.21619034 2.67738056 -1.12453008
-1.07756960 2.67464995 -1.13101292
-1.09031761 2.67496800 -1.13034391
-1.15855503 2.67412424 -1.13211823
-1.21149337 2.67476058 -1.13077986
-1.34197092 2.67422247 -1.13191140
-1.26270390 2.67421699 -1.13192296
-1.10859656 2.67193699 -1.13629138
-1.21511531 2.67103410 -1.13789713
-1.22803354 2.67116332 -1.13766730
-1.17057717 2.67304873 -1.13431406
-1.28810453 2.67263007 -1.13505852
-1.37876463 2.67230678 -1.13563383
-1.15675485 2.66873527 -1.14154041
-1.14450860 2.66849303 -1.14190972
-1.14102757 2.66944003 -1.14046562
-1.11762714 2.67039514 -1.13900948
