-1.35601449 1.70267117 -0.42006621
-1.35015452 1.70262408 -0.40238404
-1.35276377 1.70251238 -0.40651065
-1.34787750 1.70283020 -0.34253970
-1.35057330 1.70260203 -0.27379847
-1.34312522 1.70376205 -0.34757239
-1.34795010 1.70281887 -0.23453446
-1.34048212 1.70454180 -0.32284760
-1.34153485 1.70417702 -0.24451183
-1.33661962 1.70611417 -0.36673668
-1.34039462 1.70457447 -0.25491452
-1.33374023 1.70761085 -0.26113480
-1.33555579 1.70663846 -0.32774928
-1.33014631 1.71000493 -0.38708282
-1.33128226 1.70914924 -0.37026536
-1.32914364 1.71078396 -0.24349964
-1.32808065 1.71161401 -0.30078980
-1.32673705 1.71289599 -0.27938592
-1.32471490 1.71496320 -0.28400174
-1.32331347 1.71660173 -0.33254024
-1.32246912 1.71770310 -0.35169768
-1.32172561 1.71877551 -0.24988797
-1.32064259 1.72036684 -0.34189945
-1.31982350 1.72184920 -0.31337738
-1.31851566 1.72441220 -0.36979914
-1.31825328 1.72502697 -0.25513113
-1.31683803 1.72882247 -0.34168822
-1.31641364 1.73018408 -0.35903764
-1.31530344 1.73640966 -0.40717122
-1.31565762 1.73364055 -0.34408247
-1.31578434 1.73301852 -0.28606012
-1.31512880 1.73874438 -0.41585195
-1.31513929 1.73805451 -0.35109138
-1.31513214 1.74054277 -0.29919145
-1.31548715 1.74537158 -0.39223921
-1.31522858 1.74287450 -0.32199147
-1.31673443 1.75084984 -0.31367654
-1.31622219 1.74910259 -0.40277395
-1.31560254 1.74611580 -0.28830639
-1.31822824 1.75491285 -0.39389408
-1.31734157 1.75277245 -0.34717479
-1.31812358 1.75467026 -0.24280234
-1.32006252 1.75857985 -0.40811267
-1.31953228 1.75762880 -0.28505403
-1.32224679 1.76197171 -0.41055048
-1.32230926 1.76206112 -0.22748287
-1.32526505 1.76567042 -0.28264591
-1.32458711 1.76488364 -0.22637510
-1.32954872 1.76953137 -0.41693872
-1.32661486 1.76698864 -0.40982157
-1.32660544 1.76697958 -0.28803498
-1.32966602 1.76962185 -0.26254615
-1.33430266 1.77273333 -0.30661559
-1.33208609 1.77135742 -0.34316668
-1.33678341 1.77396333 -0.37197414
-1.33504629 1.77311528 -0.27136031
-1.33876276 1.77482116 -0.37603620
-1.33808756 1.77457249 -0.23492411
-1.34678268 1.77700055 -0.33834124
-1.34340787 1.77631092 -0.42128494
-1.34272254 1.77613485 -0.25930840
-1.34801483 1.77718687 -0.34070456
-1.34962022 1.77735174 -0.28486627
-1.35142374 1.77743983 -0.32602674
-1.35702884 1.77721012 -0.39754254
-1.35550988 1.77734971 -0.34400114
-1.35472190 1.77739120 -0.26877832
-1.35867548 1.77695477 -0.27512076
-1.36436510 1.77557695 -0.33427504
-1.36353004 1.77584946 -0.35685879
-1.36264384 1.77608061 -0.25876573
-1.36666203 1.77472138 -0.29607055
-1.37076914 1.77279043 -0.29250595
-1.36998308 1.77317786 -0.22677766
-1.37168598 1.77222645 -0.38674054
-1.37303591 1.77138150 -0.27979124
